latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-3.52,-56.5538,344.4,0.41,0.37,2026-06-09,1733,1,VIIRS,87,2.0NRT,332.4,20.1,D
-1.3558,-56.3087,346.7,0.47,0.38,2026-06-09,1640,1,VIIRS,94,2.0NRT,320.5,59.3,D
-3.3032,-57.5229,341.5,0.59,0.41,2026-06-08,0402,N,VIIRS,91,2.0NRT,315.4,60.5,N
-1.7525,-55.8425,351.3,0.48,0.42,2026-06-09,1640,N,VIIRS,81,2.0NRT,325.8,65.5,D
-2.4631,-58.0795,350.7,0.48,0.50,2026-06-09,1640,1,VIIRS,82,2.0NRT,337.3,61.0,D
-1.4092,-56.8178,353.5,0.41,0.49,2026-06-08,1655,1,VIIRS,81,2.0NRT,342.9,27.9,D
-0.7690,-57.0025,350.3,0.58,0.42,2026-06-08,0402,1,VIIRS,84,2.0NRT,335.4,31.0,N
-3.4492,-58.3091,341.8,0.52,0.43,2026-06-09,1705,1,VIIRS,85,2.0NRT,323.4,76.9,D
-3.2334,-56.4231,354.2,0.49,0.49,2026-06-08,1655,N,VIIRS,88,2.0NRT,337.4,74.9,D
-1.9981,-57.7572,342.9,0.55,0.44,2026-06-09,1640,1,VIIRS,83,2.0NRT,326.9,83.7,D
-3.5982,-56.9029,345.2,0.45,0.44,2026-06-08,1718,N,VIIRS,80,2.0NRT,327.9,17.7,D
-1.8953,-55.4704,342.0,0.54,0.42,2026-06-08,1718,N,VIIRS,95,2.0NRT,328.7,90.4,D
-0.4470,-57.3873,344.2,0.46,0.50,2026-06-08,1718,N,VIIRS,94,2.0NRT,320.3,32.8,D
-1.7306,-58.4171,348.0,0.52,0.45,2026-06-09,1640,N,VIIRS,96,2.0NRT,318.8,21.7,D
-6.0647,-55.9653,345.1,0.50,0.40,2026-06-08,1718,1,VIIRS,82,2.0NRT,323.0,31.7,D
-6.6777,-56.4781,346.4,0.51,0.42,2026-06-08,1718,1,VIIRS,79,2.0NRT,321.0,8.3,D
-6.8906,-54.4306,346.5,0.44,0.39,2026-06-08,1718,1,VIIRS,82,2.0NRT,335.7,45.4,D
-6.7104,-55.6247,336.3,0.44,0.49,2026-06-09,1705,N,VIIRS,85,2.0NRT,306.8,83.2,D
-6.5922,-55.6119,345.0,0.57,0.39,2026-06-09,1705,N,VIIRS,85,2.0NRT,319.3,31.2,D
-7.4675,-55.4953,345.9,0.57,0.50,2026-06-08,1655,1,VIIRS,85,2.0NRT,322.7,27.4,D
-6.9131,-54.2452,348.1,0.52,0.41,2026-06-08,1718,N,VIIRS,81,2.0NRT,332.9,84.3,D
-5.8378,-55.5527,335.7,0.47,0.37,2026-06-09,1733,N,VIIRS,84,2.0NRT,311.5,30.2,D
-7.4466,-55.8075,346.7,0.51,0.39,2026-06-08,1655,1,VIIRS,87,2.0NRT,323.4,52.1,D
-15.7007,-48.1320,326.4,0.44,0.49,2026-06-09,1705,N,VIIRS,70,2.0NRT,299.2,85.7,D
-15.5871,-47.2033,336.8,0.57,0.44,2026-06-08,0402,1,VIIRS,86,2.0NRT,314.9,93.9,N
-15.5507,-47.4127,328.1,0.45,0.37,2026-06-08,0402,N,VIIRS,77,2.0NRT,312.6,81.1,N
-16.2233,-47.8197,327.7,0.48,0.39,2026-06-08,1655,1,VIIRS,74,2.0NRT,316.4,69.5,D
-14.7865,-47.5090,336.2,0.51,0.46,2026-06-08,1655,1,VIIRS,82,2.0NRT,307.3,49.5,D
-14.5976,-48.3435,330.7,0.53,0.47,2026-06-09,0418,N,VIIRS,72,2.0NRT,305.7,48.9,N
-14.6008,-47.3915,327.2,0.51,0.39,2026-06-08,0402,N,VIIRS,70,2.0NRT,312.4,62.1,N
-13.3973,-55.0594,330.7,0.59,0.44,2026-06-08,1718,N,VIIRS,67,2.0NRT,317.4,75.7,D
-11.5405,-55.9993,324.2,0.56,0.44,2026-06-09,0418,N,VIIRS,82,2.0NRT,301.7,68.1,N
-12.2459,-56.7345,321.2,0.54,0.42,2026-06-08,0402,1,VIIRS,77,2.0NRT,309.1,79.5,N
-13.1518,-54.5829,333.9,0.57,0.37,2026-06-08,1655,N,VIIRS,81,2.0NRT,314.6,75.4,D
-12.6847,-56.3147,330.8,0.44,0.47,2026-06-08,1718,1,VIIRS,76,2.0NRT,310.9,37.3,D
-13.7756,-56.2370,336.2,0.49,0.36,2026-06-09,1705,1,VIIRS,66,2.0NRT,318.1,29.0,D
-12.9144,-55.3065,329.9,0.45,0.40,2026-06-08,1655,1,VIIRS,75,2.0NRT,305.0,45.0,D
-17.7805,-56.4426,316.8,0.46,0.41,2026-06-09,1710,N,VIIRS,56,2.0NRT,301.3,72.3,D
-18.9128,-57.2272,318.4,0.49,0.42,2026-06-09,1710,1,VIIRS,54,2.0NRT,293.3,63.5,D
-17.6846,-56.5356,320.0,0.42,0.39,2026-06-09,1710,1,VIIRS,52,2.0NRT,296.3,58.2,D
-17.7589,-56.3105,319.7,0.52,0.46,2026-06-08,0405,N,VIIRS,64,2.0NRT,297.9,33.9,N
-18.4321,-56.8901,318.5,0.48,0.44,2026-06-09,0405,1,VIIRS,58,2.0NRT,295.4,41.2,N
-16.9023,-57.1243,321.3,0.50,0.43,2026-06-08,1710,N,VIIRS,61,2.0NRT,299.8,28.7,D
-17.3412,-57.0134,317.9,0.43,0.41,2026-06-09,1710,1,VIIRS,55,2.0NRT,294.1,53.6,D
-10.0779,-41.0844,318.2,0.49,0.44,2026-06-09,1710,1,VIIRS,49,2.0NRT,297.2,28.9,D
-9.5919,-40.0940,318.6,0.51,0.45,2026-06-08,0405,N,VIIRS,52,2.0NRT,296.1,76.5,N
-9.2345,-39.5012,320.4,0.48,0.42,2026-06-09,1655,1,VIIRS,47,2.0NRT,298.3,31.2,D
-10.8932,-40.7821,319.1,0.53,0.46,2026-06-08,1710,N,VIIRS,51,2.0NRT,296.7,55.6,D
-8.4512,-38.9034,317.8,0.46,0.40,2026-06-09,0410,1,VIIRS,48,2.0NRT,295.2,43.8,N
-9.7823,-41.5014,318.3,0.50,0.43,2026-06-08,1645,N,VIIRS,50,2.0NRT,296.9,29.4,D
-11.3421,-42.2134,316.9,0.47,0.41,2026-06-09,1710,1,VIIRS,45,2.0NRT,293.5,38.1,D
-8.1234,-38.4523,319.5,0.52,0.44,2026-06-09,0410,N,VIIRS,46,2.0NRT,297.8,47.3,N
