latitude,longitude,data_hora_gmt,satelite,frp,confidence
-3.5098,-56.5477,2026-06-09 17:33:00,AQUA_M-T,20.1,87
-3.2703,-57.5110,2026-06-09 04:02:00,AQUA_M-T,60.5,91
-1.3874,-56.8465,2026-06-08 16:55:00,AQUA_M-T,27.9,81
-0.7192,-57.0015,2026-06-08 04:02:00,AQUA_M-T,31.0,84
-3.4439,-58.2649,2026-06-09 17:05:00,AQUA_M-T,76.9,85
-3.5750,-56.8713,2026-06-08 17:18:00,AQUA_M-T,17.7,80
-0.7645,-57.4520,2026-06-09 17:33:00,AQUA_M-T,27.5,87
-1.9616,-57.5502,2026-06-08 17:18:00,AQUA_M-T,26.6,95
-1.2891,-57.1305,2026-06-09 16:40:00,AQUA_M-T,13.3,83
-2.1919,-55.6897,2026-06-09 17:22:00,AQUA_M-T,16.5,97
-6.7202,-56.4398,2026-06-08 17:18:00,AQUA_M-T,8.3,79
-6.8626,-54.3922,2026-06-08 17:18:00,AQUA_M-T,45.4,82
-7.4534,-55.5053,2026-06-08 16:55:00,AQUA_M-T,27.4,85
-7.1070,-55.4589,2026-06-09 17:22:00,AQUA_M-T,77.1,93
-5.8721,-55.4812,2026-06-09 17:05:00,AQUA_M-T,38.9,88
-6.3145,-54.9034,2026-06-08 16:40:00,AQUA_M-T,52.3,84
-15.7457,-48.1571,2026-06-09 17:05:00,AQUA_M-T,85.7,70
-15.5735,-47.4307,2026-06-08 04:02:00,AQUA_M-T,81.1,77
-16.1828,-47.8113,2026-06-08 16:55:00,AQUA_M-T,69.5,74
-14.7023,-47.7938,2026-06-08 17:18:00,AQUA_M-T,15.3,70
-14.3512,-48.5901,2026-06-09 04:18:00,AQUA_M-T,42.6,73
-15.9214,-46.9078,2026-06-09 16:40:00,AQUA_M-T,58.2,79
-11.5372,-55.9831,2026-06-09 04:18:00,AQUA_M-T,68.1,82
-12.6467,-56.2946,2026-06-08 17:18:00,AQUA_M-T,37.3,76
-13.7852,-56.2627,2026-06-09 17:05:00,AQUA_M-T,29.0,66
-12.9451,-55.3445,2026-06-08 16:55:00,AQUA_M-T,45.0,75
-11.2345,-55.1478,2026-06-09 16:55:00,AQUA_M-T,61.4,78
-13.4102,-54.7823,2026-06-08 17:05:00,AQUA_M-T,34.7,72
-17.7597,-56.4799,2026-06-09 17:10:00,AQUA_M-T,72.3,56
-18.9577,-57.1831,2026-06-09 17:10:00,AQUA_M-T,63.5,54
-17.6930,-56.5260,2026-06-09 17:10:00,AQUA_M-T,58.2,52
-17.3841,-57.0124,2026-06-08 04:05:00,AQUA_M-T,33.9,64
-18.4512,-56.7839,2026-06-08 17:10:00,AQUA_M-T,48.1,58
-16.8934,-57.2401,2026-06-09 04:05:00,AQUA_M-T,41.7,60
-10.1048,-41.0637,2026-06-09 17:10:00,AQUA_M-T,28.9,49
-9.5919,-40.0940,2026-06-08 04:05:00,AQUA_M-T,76.5,52
-9.2134,-39.4872,2026-06-09 16:55:00,AQUA_M-T,31.2,47
-10.8921,-40.7834,2026-06-08 17:10:00,AQUA_M-T,55.6,51
-8.4523,-38.9012,2026-06-09 04:10:00,AQUA_M-T,43.8,48
-9.7834,-41.5023,2026-06-08 16:45:00,AQUA_M-T,29.4,50
