latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-3.52,-56.5538,344.4,0.41,0.37,2026-06-06,1733,1,VIIRS,87,2.0NRT,332.4,20.1,D
-1.3558,-56.3087,346.7,0.47,0.38,2026-06-06,1640,1,VIIRS,94,2.0NRT,320.5,59.3,D
-3.3032,-57.5229,341.5,0.59,0.41,2026-06-05,0402,N,VIIRS,91,2.0NRT,315.4,60.5,N
-1.7525,-55.8425,351.3,0.48,0.42,2026-06-06,1640,N,VIIRS,81,2.0NRT,325.8,65.5,D
-2.4631,-58.0795,350.7,0.48,0.5,2026-06-06,1640,1,VIIRS,82,2.0NRT,337.3,61.0,D
-1.4092,-56.8178,353.5,0.41,0.49,2026-06-05,1655,1,VIIRS,81,2.0NRT,342.9,27.9,D
-0.769,-57.0025,350.3,0.58,0.42,2026-06-05,0402,1,VIIRS,84,2.0NRT,335.4,31.0,N
-3.4492,-58.3091,341.8,0.52,0.43,2026-06-06,1705,1,VIIRS,85,2.0NRT,323.4,76.9,D
-3.2334,-56.4231,354.2,0.49,0.49,2026-06-05,1655,N,VIIRS,88,2.0NRT,337.4,74.9,D
-1.9981,-57.7572,342.9,0.55,0.44,2026-06-06,1640,1,VIIRS,83,2.0NRT,326.9,83.7,D
-3.5982,-56.9029,345.2,0.45,0.44,2026-06-05,1718,N,VIIRS,80,2.0NRT,327.9,17.7,D
-1.8953,-55.4704,342.0,0.54,0.42,2026-06-05,1718,N,VIIRS,95,2.0NRT,328.7,90.4,D
-0.7212,-57.4051,347.2,0.4,0.46,2026-06-06,1733,N,VIIRS,87,2.0NRT,330.4,27.5,D
-1.9547,-57.5426,344.5,0.56,0.39,2026-06-05,1718,1,VIIRS,95,2.0NRT,331.9,26.6,D
-1.267,-57.1055,350.8,0.44,0.42,2026-06-06,1640,N,VIIRS,83,2.0NRT,326.2,13.3,D
-2.182,-55.6456,353.8,0.43,0.43,2026-06-06,1722,N,VIIRS,97,2.0NRT,330.8,16.5,D
-0.447,-57.3873,344.2,0.46,0.5,2026-06-05,1718,N,VIIRS,94,2.0NRT,320.3,32.8,D
-1.7306,-58.4171,348.0,0.52,0.45,2026-06-06,1640,N,VIIRS,96,2.0NRT,318.8,21.7,D
-1.6975,-57.8121,349.9,0.53,0.4,2026-06-05,1655,N,VIIRS,93,2.0NRT,328.6,65.2,D
-0.6271,-57.1369,355.0,0.5,0.38,2026-06-06,1722,N,VIIRS,80,2.0NRT,325.0,47.9,D
-2.1978,-57.688,348.7,0.59,0.37,2026-06-06,1733,1,VIIRS,89,2.0NRT,319.0,61.2,D
-6.0647,-55.9653,345.1,0.5,0.4,2026-06-05,1718,1,VIIRS,82,2.0NRT,323.0,31.7,D
-6.6777,-56.4781,346.4,0.51,0.42,2026-06-05,1718,1,VIIRS,79,2.0NRT,321.0,8.3,D
-6.8906,-54.4306,346.5,0.44,0.39,2026-06-05,1718,1,VIIRS,82,2.0NRT,335.7,45.4,D
-6.7104,-55.6247,336.3,0.44,0.49,2026-06-06,1705,N,VIIRS,85,2.0NRT,306.8,83.2,D
-6.5922,-55.6119,345.0,0.57,0.39,2026-06-06,1705,N,VIIRS,85,2.0NRT,319.3,31.2,D
