latitude,longitude,data_hora_gmt,satelite,frp,confidence
-3.5098,-56.5477,2026-06-06 17:33:00,AQUA_M-T,20.1,87
-3.2703,-57.511,2026-06-05 04:02:00,AQUA_M-T,60.5,91
-1.3874,-56.8465,2026-06-05 16:55:00,AQUA_M-T,27.9,81
-0.7192,-57.0015,2026-06-05 04:02:00,AQUA_M-T,31.0,84
-3.4439,-58.2649,2026-06-06 17:05:00,AQUA_M-T,76.9,85
-3.575,-56.8713,2026-06-05 17:18:00,AQUA_M-T,17.7,80
-0.7645,-57.452,2026-06-06 17:33:00,AQUA_M-T,27.5,87
-1.9616,-57.5502,2026-06-05 17:18:00,AQUA_M-T,26.6,95
-1.2891,-57.1305,2026-06-06 16:40:00,AQUA_M-T,13.3,83
-2.1919,-55.6897,2026-06-06 17:22:00,AQUA_M-T,16.5,97
-0.4428,-57.3625,2026-06-05 17:18:00,AQUA_M-T,32.8,94
-1.7686,-58.3781,2026-06-06 16:40:00,AQUA_M-T,21.7,96
-1.7344,-57.7975,2026-06-05 16:55:00,AQUA_M-T,65.2,93
-0.6702,-57.1625,2026-06-06 17:22:00,AQUA_M-T,47.9,80
-6.7202,-56.4398,2026-06-05 17:18:00,AQUA_M-T,8.3,79
-6.8626,-54.3922,2026-06-05 17:18:00,AQUA_M-T,45.4,82
-7.4534,-55.5053,2026-06-05 16:55:00,AQUA_M-T,27.4,85
-7.107,-55.4589,2026-06-06 17:22:00,AQUA_M-T,77.1,93
-15.7457,-48.1571,2026-06-06 17:05:00,AQUA_M-T,85.7,70
-15.5735,-47.4307,2026-06-05 04:02:00,AQUA_M-T,81.1,77
-16.1828,-47.8113,2026-06-05 16:55:00,AQUA_M-T,69.5,74
-14.7023,-47.7938,2026-06-05 17:18:00,AQUA_M-T,15.3,70
-11.5372,-55.9831,2026-06-06 04:18:00,AQUA_M-T,68.1,82
-12.6467,-56.2946,2026-06-05 17:18:00,AQUA_M-T,37.3,76
-13.7852,-56.2627,2026-06-06 17:05:00,AQUA_M-T,29.0,66
-12.9451,-55.3445,2026-06-05 16:55:00,AQUA_M-T,45.0,75
-17.7597,-56.4799,2026-06-02 17:10:00,AQUA_M-T,72.3,56
-18.9577,-57.1831,2026-06-02 17:10:00,AQUA_M-T,63.5,54
-17.693,-56.526,2026-06-02 17:10:00,AQUA_M-T,58.2,52
-10.1048,-41.0637,2026-06-02 17:10:00,AQUA_M-T,28.9,49
